relevance	holder	target	sentiment	date	context
0	LOO	0	0	2020.09.25 星期五21:0	 LOO已邀請吳OO加入群組。
0	吳OO	0	0	2020.09.25 星期五21:5	 吳OO已加入群組。
0	LOO	0	0	2020.09.25 星期五22:1	 大家來挑日期吧
0	李OO	0	0	2020.09.25 星期五22:4	 我中秋節當天晚上不行和星期天不太行  連假其他天都可以  但如果最後是要星期天的話  那就星期天也行
0	庭OO	0	0	2020.09.25 星期五23:0	 還是開個投票勒
0	LOO	0	0	2020.09.25 星期五23:0	 好
0	庭OO	0	0	2020.09.25 星期五23:0	 [投票] 哪時候唱歌
0	庭OO	0	0	2020.09.26 星期六12:4	 你們比較想唱幾點的勒
0	林OO	0	0	2020.09.26 星期六12:4	已收回訊息
0	林OO	0	0	2020.09.26 星期六12:4	 我晚上比較方便
0	庭OO	0	0	2020.09.26 星期六23:3	 我都可以耶
0	庭OO	0	0	2020.09.26 星期六23:3	 不要太晚就好
0	庭OO	0	0	2020.09.26 星期六23:3	 其他人勒
0	LOO	0	0	2020.09.26 星期六23:5	 我也差不多
0	LOO	0	0	2020.09.26 星期六23:5	 目前3下午應該有約
0	LOO	0	0	2020.09.26 星期六23:5	 晚上應該可
0	李OO	0	0	2020.09.26 星期六23:5	 我可以下午也可晚上  但也不能太晚怕沒車回家
0	吳OO	0	0	2020.09.27 星期日09:2	 晚上可以
0	林OO	0	0	2020.09.27 星期日10:0	 我也是～～～
0	林OO	0	0	2020.09.27 星期日10:0	 下午晚上都行
0	林OO	0	0	2020.09.27 星期日11:0	 目前看起來是五跟六擇一
0	林OO	0	0	2020.09.27 星期日11:0	 我五晚上要上班，六是下午
0	林OO	0	0	2020.09.27 星期日11:0	 約五的下午？
0	李OO	0	0	2020.09.27 星期日13:2	 我覺得五的下午不錯
0	LOO	0	0	2020.09.27 星期日15:2	 但我應該要3.4點後可
0	林OO	0	0	2020.09.27 星期日15:3	 六的話我3.40下課
0	林OO	0	0	2020.09.27 星期日15:3	 所以約4.-5.可以
0	LOO	0	0	2020.09.27 星期日15:3	 週末是唱3還4小啊
0	林OO	0	0	2020.09.27 星期日16:3	 如果是下午進去的好處就是可以順便晚餐在那邊解決
0	LOO	0	0	2020.09.27 星期日17:0	 可啊
0	林OO	0	0	2020.09.27 星期日17:1	 那時間先訂禮拜六下午五點？
0	林OO	0	0	2020.09.27 星期日17:1	 接下來就是地點了
0	林OO	0	0	2020.09.27 星期日17:1	 台北我有去過的大概是南京復興、西門跟板橋這三個地方的吧
0	林OO	0	0	2020.09.27 星期日17:1	 看大家有沒有比較推哪裡
0	LOO	0	0	2020.09.27 星期日17:1	 我覺得星聚點可能比較便宜
0	LOO	0	0	2020.09.27 星期日17:1	 忠孝復興那邊也有
0	庭OO	0	0	2020.09.27 星期日18:2	 圖片
0	庭OO	0	0	2020.09.27 星期日18:2	 這是我查到的
0	庭OO	0	0	2020.09.27 星期日18:2	 復興館的
