target	holder	sentiment	date	context
0	L__3	0	2020.09.25 星期五21:01	 L_3已邀請吳_9加入群組。
0	吳__9	0	2020.09.25 星期五21:56	 吳_9已加入群組。
0	L__3	0	2020.09.25 星期五22:14	 大家來挑日期吧
0	李__8	0	2020.09.25 星期五22:41	 我中秋節當天晚上不行和星期天不太行  連假其他天都可以  但如果最後是要星期天的話  那就星期天也行
0	庭__12	0	2020.09.25 星期五23:02	 還是開個投票勒
0	L__3	0	2020.09.25 星期五23:03	 好
0	庭__12	0	2020.09.25 星期五23:04	 [投票] 哪時候唱歌
0	庭__12	0	2020.09.26 星期六12:42	 你們比較想唱幾點的勒
0	林__1	0	2020.09.26 星期六12:42	已收回訊息
0	林__1	0	2020.09.26 星期六12:43	 我晚上比較方便
0	庭__12	0	2020.09.26 星期六23:31	 我都可以耶
0	庭__12	0	2020.09.26 星期六23:31	 不要太晚就好
0	庭__12	0	2020.09.26 星期六23:31	 其他人勒
0	L__3	0	2020.09.26 星期六23:50	 我也差不多
0	L__3	0	2020.09.26 星期六23:50	 目前3下午應該有約
0	L__3	0	2020.09.26 星期六23:50	 晚上應該可
0	李__8	0	2020.09.26 星期六23:51	 我可以下午也可晚上  但也不能太晚怕沒車回家
0	吳__9	0	2020.09.27 星期日09:29	 晚上可以
0	林__5	0	2020.09.27 星期日10:00	 我也是～～～
0	林__5	0	2020.09.27 星期日10:01	 下午晚上都行
0	林__1	0	2020.09.27 星期日11:08	 目前看起來是五跟六擇一
0	林__1	0	2020.09.27 星期日11:08	 我五晚上要上班，六是下午
0	林__1	0	2020.09.27 星期日11:09	 約五的下午？
0	李__8	0	2020.09.27 星期日13:24	 我覺得五的下午不錯
0	L__3	0	2020.09.27 星期日15:27	 但我應該要3.4點後可
0	林__1	0	2020.09.27 星期日15:30	 六的話我3.40下課
0	林__1	0	2020.09.27 星期日15:30	 所以約4.-5.可以
0	L__3	0	2020.09.27 星期日15:31	 週末是唱3還4小啊
0	林__1	0	2020.09.27 星期日16:33	 如果是下午進去的好處就是可以順便晚餐在那邊解決
0	L__3	0	2020.09.27 星期日17:05	 可啊
0	林__1	0	2020.09.27 星期日17:15	 那時間先訂禮拜六下午五點？
0	林__1	0	2020.09.27 星期日17:15	 接下來就是地點了
0	林__1	0	2020.09.27 星期日17:16	 台北我有去過的大概是南京復興、西門跟板橋這三個地方的吧
0	林__1	0	2020.09.27 星期日17:16	 看大家有沒有比較推哪裡
0	L__3	0	2020.09.27 星期日17:18	 我覺得星聚點可能比較便宜
0	L__3	0	2020.09.27 星期日17:19	 忠孝復興那邊也有
0	庭__12	0	2020.09.27 星期日18:25	 圖片
0	庭__12	0	2020.09.27 星期日18:25	 這是我查到的
0	庭__12	0	2020.09.27 星期日18:25	 復興館的
0	庭__12	0	2020.09.27 星期日18:27	 好樂迪好像也不貴
0	L__3	0	2020.09.27 星期日18:28	 那天要算週六的
0	L__3	0	2020.09.27 星期日18:28	 500可以欸
0	庭__12	0	2020.09.27 星期日18:31	 圖片
0	庭__12	0	2020.09.27 星期日18:31	 好樂迪的
0	庭__12	0	2020.09.27 星期日18:31	 6個人算小包廂
0	庭__12	0	2020.09.27 星期日18:31	 一個小時560
0	庭__12	0	2020.09.27 星期日18:31	 左邊的圖是算人頭的
0	庭__12	0	2020.09.27 星期日18:31	 右邊算包廂
0	L__3	0	2020.09.27 星期日18:47	 星聚點好像比較便宜
0	L__3	0	2020.09.27 星期日18:47	 好樂迪是怎麼點的呀
0	林__1	0	2020.09.27 星期日18:54	 現在這種好像都要看店
0	林__1	0	2020.09.27 星期日18:55	 有些是自助的有些是點的
0	L__3	0	2020.09.27 星期日18:58	 是喔
0	L__3	0	2020.09.27 星期日18:59	 那我們要選哪個地區的
0	L__3	0	2020.09.27 星期日18:59	 再來挑店家
0	L__3	0	2020.09.27 星期日18:59	 還要看訂不訂得到
0	林__1	0	2020.09.27 星期日19:08	 嘿啊先看大家方便的地方
0	庭__12	0	2020.09.27 星期日19:58	 包廂的好像好樂迪比較便宜耶
0	庭__12	0	2020.09.27 星期日19:58	 他應該是一個包廂一小時的價格吧
0	庭__12	0	2020.09.27 星期日19:59	 不是算人頭的
0	L__3	0	2020.09.27 星期日20:08	 那吃另外點嗎
0	L__3	0	2020.09.27 星期日20:09	 @吳_9 @李_8 @林_5 
0	L__3	0	2020.09.27 星期日20:09	 哪裡你們比較方便
0	吳__9	0	2020.09.27 星期日20:09	 我上次去西門的好樂迪是自助吧，但好像也可以用點的
0	林__5	0	2020.09.27 星期日20:12	 西門可以～～～
0	李__8	0	2020.09.27 星期日20:24	 我只要捷運能到都行  但如果要去西門的話  西門的星據點好像不太好  好樂迪我記得我當初去是吃自助吧的  
0	林__1	0	2020.09.27 星期日20:32	 西門星聚點我記得是不是我們去過
0	林__1	0	2020.09.27 星期日20:32	 不過我也好久沒去了
0	林__5	0	2020.09.27 星期日20:51	 我之前去復興的星聚點滿好吃的～😂但是我也只吃過那家 
0	L__3	0	2020.09.27 星期日21:03	 看來西門星聚點蠻多票的
0	L__3	0	2020.09.27 星期日21:03	 還是就西門星聚點
0	林__1	0	2020.09.27 星期日21:20	 捷運能到的基本上我也都行，在復興的好處就是離我上班的地方很近而已XD
0	林__1	0	2020.09.27 星期日21:21	 主要看 @庭_12 跟 @吳_9 吧我記得他們住比較遠
0	L__3	0	2020.09.27 星期日21:24	 你們怎麼看
0	吳__9	0	2020.09.27 星期日21:46	 西門ok
0	庭__12	0	2020.09.27 星期日21:52	 要去哪邊啊？
0	L__3	0	2020.09.27 星期日21:52	 西門或復興
0	庭__12	0	2020.09.27 星期日21:53	 我之前有買過好樂迪的會員
0	庭__12	0	2020.09.27 星期日21:53	 不知道還有沒有優惠
0	庭__12	0	2020.09.27 星期日21:53	 我都可以
0	L__3	0	2020.09.27 星期日21:53	 都可
0	L__3	0	2020.09.27 星期日21:54	 那要西門還復興
0	庭__12	0	2020.09.27 星期日21:54	 西門和復興的
0	L__3	0	2020.09.27 星期日21:54	 對啊
0	L__3	0	2020.09.27 星期日21:54	 先看要西門還是復興
0	L__3	0	2020.09.27 星期日21:54	 再決定哪一家
0	庭__12	0	2020.09.27 星期日21:54	 2邊我好像差不多距離
0	L__3	0	2020.09.27 星期日21:54	 那就西門如何
0	庭__12	0	2020.09.27 星期日21:54	 看大家哪邊比較方便
0	庭__12	0	2020.09.27 星期日21:54	 西門的費用會比較貴的樣子
0	L__3	0	2020.09.27 星期日21:55	 目前看起來大家是偏愛西門
0	庭__12	0	2020.09.27 星期日21:55	 我都可以
0	吳__9	0	2020.09.27 星期日22:11	 哦哦那復興也可啊
0	L__3	0	2020.09.27 星期日22:14	 那就復興嗎？
0	林__1	0	2020.09.27 星期日22:25	 有差，上次跟別人去的時候我記得有
0	李__8	0	2020.09.27 星期日22:47	 復興行
0	庭__12	0	2020.09.28 星期一00:39	 但不確定我的有沒有過期了
0	庭__12	0	2020.09.28 星期一00:39	 哈哈哈
0	L__3	0	2020.09.28 星期一00:53	 那就去復興路
0	L__3	0	2020.09.28 星期一00:53	 你看你的有沒有過期
0	L__3	0	2020.09.28 星期一00:53	 沒有的話，就訂好樂迪
0	庭__12	0	2020.09.28 星期一11:21	 那復興的大家要好樂迪還是星聚點勒
0	林__1	0	2020.09.28 星期一22:45	 我上次去是好樂迪
0	林__1	0	2020.09.28 星期一22:45	 外面有一些東西吃
0	林__1	0	2020.09.28 星期一22:45	 星聚點我叔叔很推那間的牛肉麵@@
0	L__3	0	2020.09.29 星期二08:07	 我投星聚點一票
0	李__8	0	2020.09.29 星期二13:12	 我兩間都可  所以投比較便宜的那間一票
0	林__5	0	2020.09.29 星期二21:33	 便宜的加一😂😂
0	吳__9	0	2020.09.29 星期二21:50	 我兩間都可  所以投比較便宜的那間一票
0	林__1	0	2020.09.29 星期二22:45	 那就訂星聚點看看吧
0	林__1	0	2020.09.30 星期三00:03	 我剛剛喝醉，回家才發現好樂迪好像比較便宜
0	林__1	0	2020.09.30 星期三00:03	 應該是好樂迪
0	庭__12	0	2020.09.30 星期三13:10	 我剛剛打電話去問
0	庭__12	0	2020.09.30 星期三13:10	 他說一個人460
0	庭__12	0	2020.09.30 星期三13:10	 3小時
0	庭__12	0	2020.09.30 星期三13:14	 我打去問星聚點
0	庭__12	0	2020.09.30 星期三13:14	 500塊
0	庭__12	0	2020.09.30 星期三13:14	 3小時45分鐘
0	庭__12	0	2020.09.30 星期三13:14	 星聚點說沒有附餐點
0	庭__12	0	2020.09.30 星期三13:14	 要自己加價
0	庭__12	0	2020.09.30 星期三13:14	已收回訊息
0	庭__12	0	2020.09.30 星期三13:15	 2間我都訂位了
0	庭__12	0	2020.09.30 星期三13:15	 看大家要哪個
0	庭__12	0	2020.09.30 星期三13:15	 我再去取消
0	林__1	0	2020.09.30 星期三13:23	 太周到了吧
0	林__1	0	2020.09.30 星期三13:23	 貼圖
0	L__3	0	2020.09.30 星期三13:52	 太厲害了吧
0	庭__12	0	2020.09.30 星期三18:08	 哈哈哈
0	庭__12	0	2020.09.30 星期三18:08	 那我開一個投票
0	庭__12	0	2020.09.30 星期三18:08	 看大家要哪家
0	庭__12	0	2020.09.30 星期三18:10	 [投票] 去哪邊唱歌
0	庭__12	0	2020.09.30 星期三18:10	 價格其實差不多
0	庭__12	0	2020.09.30 星期三18:10	 因為能唱的時間也有差
0	庭__12	0	2020.09.30 星期三18:11	 不過如果是自助吧的現在應該都不能使用（我猜的
0	林__1	0	2020.10.01 星期四12:04	 星聚點+90好像也有套餐
0	庭__12	0	2020.10.01 星期四12:21	 真的耶
0	庭__12	0	2020.10.01 星期四12:22	 大家把票投一投
0	庭__12	0	2020.10.01 星期四12:22	 我等等打電話去取消其中一個
0	庭__12	0	2020.10.01 星期四14:45	 [投票已結束] 哪時候唱歌
0	庭__12	0	2020.10.01 星期四14:45	 [投票已結束] 去哪邊唱歌
0	庭__12	0	2020.10.01 星期四14:45	 那就決定去星聚點了
0	庭__12	0	2020.10.01 星期四14:46	 貼圖
0	林__1	0	2020.10.01 星期四14:50	 貼圖
0	L__3	0	2020.10.01 星期四14:58	 👍
0	L__3	0	2020.10.01 星期四14:58	 復興對吧
0	庭__12	0	2020.10.01 星期四18:59	 沒錯
0	庭__12	0	2020.10.01 星期四19:00	 貼圖
0	李__8	0	2020.10.02 星期五10:25	 所以是禮拜六 幾點在星聚點復興店集合?  5點嗎?
0	林__1	0	2020.10.02 星期五10:32	 目前看起來
0	林__1	0	2020.10.02 星期五10:32	 是
0	林__1	0	2020.10.02 星期五10:33	 然後如果你想找我玩你可以四點左右坐到南京復興(Capoo_rabbit)
0	L__3	0	2020.10.02 星期五11:02	 可以找你玩什麼
0	林__1	0	2020.10.02 星期五11:30	 我也不知道
0	林__1	0	2020.10.02 星期五11:30	 不過我四點下班覺得很無聊而已ㄏㄏ
0	李__8	0	2020.10.03 星期六10:23	 是也行啦…  
0	林__1	0	2020.10.03 星期六10:23	 沒啦我開玩笑的
0	林__1	0	2020.10.03 星期六10:23	 大家五點集合就好
0	林__1	0	2020.10.03 星期六10:23	 貼圖
0	林__5	0	2020.10.03 星期六16:51	 我到了呦～～
0	林__1	0	2020.10.03 星期六16:53	 我跟維哲在門口
0	庭__12	0	2020.10.03 星期六16:54	 我也到了
0	林__1	0	2020.10.03 星期六16:58	 我們在裡面
0	庭__12	0	2020.10.03 星期六17:09	 808號
0	林__5	0	2020.10.03 星期六17:09	 圖片
0	L__3	0	2020.10.03 星期六17:13	 好
0	L__3	0	2020.10.03 星期六17:13	 我到樓下了
0	林__1	0	2020.10.03 星期六22:15	 到家啦～
0	林__1	0	2020.10.03 星期六22:15	 貼圖
0	L__3	0	2020.10.03 星期六22:16	 到囉
0	吳__9	0	2020.10.03 星期六22:18	 到
0	庭__12	0	2020.10.03 星期六22:23	 也太快了吧
0	庭__12	0	2020.10.03 星期六22:23	 大家家是住在星聚點旁邊？
0	李__8	0	2020.10.03 星期六22:23	 到
0	L__3	0	2020.10.03 星期六22:24	 你怎麼現在才知道
0	林__1	0	2020.10.03 星期六22:26	 你也開太快
0	吳__9	0	2020.10.03 星期六22:26	 我今天住新店啦哈哈
0	林__1	0	2020.10.03 星期六22:27	 貼圖
0	林__1	0	2020.10.03 星期六22:27	 我想說你這個開的不是車子了吧
0	庭__12	0	2020.10.03 星期六22:34	 到了
0	L__3	0	2021.02.20 星期六14:29	 大家
0	L__3	0	2021.02.20 星期六14:30	 228唱歌+逛夜市團
0	L__3	0	2021.02.20 星期六14:30	 預計下午3點開唱
0	L__3	0	2021.02.20 星期六14:30	 要的請+1
0	L__3	0	2021.02.20 星期六14:30	 預計3-3:30左右
0	庭__12	0	2021.02.20 星期六16:28	 4.如何
0	L__3	0	2021.02.20 星期六16:28	 豪
0	L__3	0	2021.02.20 星期六16:28	 大家可嗎
0	庭__12	0	2021.02.20 星期六16:28	 3.我有點來不及
0	L__3	0	2021.02.20 星期六16:28	 Okok
0	庭__12	0	2021.02.20 星期六16:29	 貼圖
