"label(0-irrelevant, 1-time, 2-location)"	holder	date	context
1	顯__15	2021.02.04 星期四02:23	 這禮拜還想揪一波嗎
1	顯__15	2021.02.04 星期四02:23	 過年前再一波？
1	顯__15	2021.02.04 星期四07:48	 過年前再一波？
0	黃__1	2021.02.04 星期四08:21	 我可以
1	顯__15	2021.02.04 星期四16:09	 直接明天嗎哈哈哈
0	顯__15	2021.02.04 星期四16:10	 @葉_4 @陳_7               . @黃_1 @朱_9 @振_12 @喬治 @暐 @陳人榮 @陳文慶 
1	顯__15	2021.02.04 星期四16:10	 明天嗎禮拜四
0	顯__15	2021.02.04 星期四16:12	 完了禮拜四沒開禮拜五14.開假日11.開
1	葉__4	2021.02.04 星期四16:15	 我無法 要上班(sad)
1	葉__4	2021.02.04 星期四16:15	 要等過年之後了
1	黃__1	2021.02.04 星期四16:34	 我明天不行 也沒開
0	朱__9	2021.02.04 星期四17:35	 貼圖
0	黃__1	2021.02.04 星期四17:36	 @朱_9 甲哥你啥時開始休
1	朱__9	2021.02.04 星期四17:59	 下禮拜三吧
1	陳__7	2021.02.04 星期四18:17	               . 我明天也不能
1	朱__9	2021.02.04 星期四11:18	 我下禮拜二晚上放假 到時候再出來
0	陳__7	2021.02.04 星期四11:21	               . 貼圖
0	顯__15	2021.02.05 星期五00:13	 禮拜三play的意思嗎
0	朱__9	2021.02.05 星期五18:38	 你們過年都沒有要幹嘛喔？
0	黃__1	2021.02.05 星期五18:39	 要回阿罵家吧
0	葉__4	2021.02.05 星期五18:57	 朱甲嗎
0	陳__7	2021.02.05 星期五18:57	               . 危險
0	黃__1	2021.02.05 星期五18:57	 危險
0	黃__1	2021.02.05 星期五19:11	 危險
0	黃__1	2021.02.05 星期五19:11	 危險
0	朱__9	2021.02.05 星期五19:45	 你們皮在癢餒
0	朱__9	2021.02.05 星期五19:45	 貼圖
0	黃__1	2021.02.05 星期五19:45	 @朱_9 你今年沒有要回去你阿罵家喔
0	朱__9	2021.02.05 星期五19:49	 你gg了
0	黃__1	2021.02.05 星期五19:50	 認真問喔
0	黃__1	2021.02.05 星期五19:50	 貼圖
0	朱__9	2021.02.05 星期五20:26	 過年出來一波啊啊啊啊
0	朱__9	2021.02.05 星期五20:26	 貼圖
0	黃__1	2021.02.05 星期五20:28	 可以啊
0	黃__1	2021.02.05 星期五20:28	 你啥時回去
1	朱__9	2021.02.05 星期五21:16	 我今天回來了 但我下禮拜一 二要上班 星期二晚上放春節假期
1	顯__15	2021.02.06 星期六00:02	 @朱_9 @黃_1 走啦明天
0	朱__9	2021.02.06 星期六00:02	 桌遊pa嗎
0	顯__15	2021.02.06 星期六00:02	 恩啊人少也有頗多可以玩的
0	顯__15	2021.02.06 星期六00:02	 3個我就出團哈哈
0	顯__15	2021.02.06 星期六00:02	 但人少我想用租的
0	朱__9	2021.02.06 星期六00:03	 @黃_1 @陳_7               . @葉_4 
0	顯__15	2021.02.06 星期六00:04	 決定一波哦哦我可以去租
0	顯__15	2021.02.06 星期六00:05	 @振_12 @喬治 ＋
0	葉__4	2021.02.06 星期六00:15	 我無法
0	黃__1	2021.02.06 星期六07:47	 我也無法
0	黃__1	2021.02.06 星期六07:47	 貼圖
1	陳__7	2021.02.06 星期六08:30	               . 我要下禮拜2或3才可
1	黃__1	2021.02.06 星期六08:30	 我下禮拜12
0	陳__7	2021.02.06 星期六08:33	               . 貼圖
1	朱__9	2021.02.06 星期六08:51	 我下禮拜二晚上才回來
2	朱__9	2021.02.06 星期六09:14	 有誰在竹南的
0	朱__9	2021.02.06 星期六09:14	 貼圖
0	朱__9	2021.02.06 星期六09:15	 出來吃個東西啊
0	葉__4	2021.02.06 星期六09:44	 圖片
0	黃__1	2021.02.06 星期六10:59	 @朱_9 
0	朱__9	2021.02.06 星期六11:05	 出來啦
0	黃__1	2021.02.06 星期六11:49	 貼圖
0	朱__9	2021.02.06 星期六12:09	 貼圖
0	朱__9	2021.02.06 星期六12:10	 貼圖
0	陳__7	2021.02.06 星期六12:20	               . 貼圖
1	黃__1	2021.02.06 星期六12:37	 我過年應該沒空
0	黃__1	2021.02.06 星期六12:37	 貼圖
0	黃__1	2021.02.06 星期六12:48	 圖片
0	黃__1	2021.02.06 星期六12:48	 @朱_9 
0	朱__9	2021.02.06 星期六13:05	 貼圖
0	陳__7	2021.02.06 星期六13:37	               . @朱_9 放到幾號？
0	朱__9	2021.02.06 星期六13:51	 16吧
0	朱__9	2021.02.06 星期六14:48	 @葉_4 @陳_7               . 吃雞
0	陳__7	2021.02.06 星期六14:51	               . 貼圖
0	朱__9	2021.02.06 星期六14:52	 貼圖
0	葉__4	2021.02.06 星期六16:37	 貼圖
0	朱__9	2021.02.06 星期六17:15	 貼圖
0	顯__15	2021.02.06 星期六17:16	 @黃_1 阿福嗎
0	黃__1	2021.02.06 星期六17:40	 應該沒
0	黃__1	2021.02.06 星期六17:40	 電腦炸裂
0	黃__1	2021.02.06 星期六17:41	 在看要不要修
0	朱__9	2021.02.06 星期六18:14	 貼圖
0	顯__15	2021.02.06 星期六20:54	 甲拍
1	朱__9	2021.02.07 星期日20:37	 所以勒 各位bro 下禮拜桌遊pa?
1	黃__1	2021.02.07 星期日20:40	 我只剩明天可以
0	黃__1	2021.02.07 星期日20:40	 貼圖
0	朱__9	2021.02.07 星期日21:21	 貼圖
0	朱__9	2021.02.07 星期日21:21	 貼圖
0	黃__1	2021.02.07 星期日21:21	 貼圖
0	陳__7	2021.02.07 星期日22:35	               . 貼圖
0	顯__15	2021.02.07 星期日22:51	 @朱_9 你明天要不行？
0	顯__15	2021.02.07 星期日22:51	 有人明天可嗎
0	顯__15	2021.02.07 星期日22:51	 @黃_1 你家可用不
0	陳__7	2021.02.07 星期日22:51	               .已收回訊息
0	陳__7	2021.02.07 星期日22:59	               . 我不能
0	黃__1	2021.02.07 星期日23:00	 我是可以
1	葉__4	2021.02.07 星期日23:21	 無法 要到過年後
0	黃__1	2021.02.07 星期日23:22	 死去
