label(0-irrelevant, 1-time, 2-location)	holder	date	context
0	顯__15	2021.02.20 星期五00:20	 有料嗎
0	朱__9	2021.02.20 星期五19:03	 我明天要上班 沒料
0	朱__9	2021.02.20 星期五19:04	 貼圖
0	朱__9	2021.02.20 星期六16:33	 有人在桃園要出來的嗎？
0	黃__1	2021.02.20 星期六16:33	 竹南
0	朱__9	2021.02.20 星期六16:33	 我今天回去
0	朱__9	2021.02.20 星期六16:33	 貼圖
0	黃__1	2021.02.20 星期六16:33	 我今晚回去
0	黃__1	2021.02.20 星期六16:33	 沒開玩笑
0	黃__1	2021.02.20 星期六16:34	 今晚有事
0	朱__9	2021.02.20 星期六16:34	 貼圖
0	朱__9	2021.02.20 星期六16:34	 貼圖
0	朱__9	2021.02.20 星期六16:52	 還是有誰在竹南的
0	朱__9	2021.02.20 星期六18:05	 明天中壢吃晚餐 誰有空
0	朱__9	2021.02.20 星期六18:17	 貼圖
0	陳__7	2021.02.20 星期六19:55	               . 貼圖
0	黃__1	2021.02.20 星期六19:56	 我可能可以
0	朱__9	2021.02.20 星期六20:08	 貼圖
0	顯__15	2021.02.21 星期日00:33	 @朱_9 明天晚上有料嗎
0	顯__15	2021.02.21 星期日00:33	 中壢
0	顯__15	2021.02.21 星期日00:33	 我跟@黃_1 ？
0	黃__1	2021.02.21 星期日00:49	 我可可
0	朱__9	2021.02.21 星期日01:08	 可啊
0	朱__9	2021.02.21 星期日01:08	 貼圖
0	朱__9	2021.02.21 星期日01:12	 @黃_1 @顯_15 吃個6 7.的
0	朱__9	2021.02.21 星期日09:58	 @黃_1 @顯_15 我搭5.多的火車 到中壢6. 然後再坐公車到你們學校
0	黃__1	2021.02.21 星期日09:58	 貼圖
0	葉__4	2021.02.21 星期日10:26	 +1我應該也可以ㄘ
0	葉__4	2021.02.21 星期日10:27	 @朱_9 6.你到車站打給我我去載你
0	朱__9	2021.02.21 星期日11:51	 我車停顯_15宿舍的停車場
0	朱__9	2021.02.21 星期日11:52	 到時候再載我去停車場
0	顯__15	2021.02.21 星期日13:54	 酷
0	顯__15	2021.02.21 星期日14:02	 @朱_9 @葉_4 @黃_1 吃飯完要跟屁摳玩桌遊嗎
0	顯__15	2021.02.21 星期日14:02	 然後想說一起找屁摳吃飯
0	葉__4	2021.02.21 星期日14:02	 我沒
0	黃__1	2021.02.21 星期日14:02	 我可以 
0	葉__4	2021.02.21 星期日14:02	 明天開學
0	顯__15	2021.02.21 星期日14:02	 kk
0	黃__1	2021.02.21 星期日14:03	 但桌遊應該沒
0	黃__1	2021.02.21 星期日14:03	 可假崩
0	顯__15	2021.02.21 星期日14:03	 @黃_1 我們明天課應該還不用去？
0	黃__1	2021.02.21 星期日14:03	 明天註冊而已
0	顯__15	2021.02.21 星期日14:05	 kk
0	黃__1	2021.02.21 星期日14:05	 晚上要吃啥
0	黃__1	2021.02.21 星期日14:05	 很多都沒開
0	黃__1	2021.02.21 星期日14:05	 我也沒摩托車
0	黃__1	2021.02.21 星期日14:05	 貼圖
0	朱__9	2021.02.21 星期日14:49	 貼圖
0	葉__4	2021.02.21 星期日15:48	 貼圖
0	朱__9	2021.02.21 星期日17:13	 @葉_4 我要坐車到中壢囉
0	顯__15	2021.02.21 星期日17:17	 等等吃啥
0	黃__1	2021.02.21 星期日17:18	 不知
0	黃__1	2021.02.21 星期日17:18	 不知什麼有開
0	葉__4	2021.02.21 星期日17:19	 @朱_9 要等我 我準備到內壢
0	黃__1	2021.02.21 星期日17:23	 完蛋不知道吃啥 火鍋嗎
0	朱__9	2021.02.21 星期日17:26	 都可
0	朱__9	2021.02.21 星期日17:26	 你幾點到車站
0	顯__15	2021.02.21 星期日17:29	 夜市頗熱鬧
0	顯__15	2021.02.21 星期日17:29	 問號嗎
0	黃__1	2021.02.21 星期日17:29	 問號牛嗎
0	顯__15	2021.02.21 星期日17:29	 去吃萊豬
0	黃__1	2021.02.21 星期日17:29	 貼圖
0	黃__1	2021.02.21 星期日17:30	 問號484要200up
0	朱__9	2021.02.21 星期日17:36	 貼圖
0	葉__4	2021.02.21 星期日17:48	 @朱_9 你在哪了
0	朱__9	2021.02.21 星期日18:02	 快到中壢的路上
