label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
0	陳__19	2017.08.29 星期二10:25	 約啊 
0	陳__19	2017.08.29 星期二10:25	 我都有空
3	陳__19	2017.08.29 星期二10:39	 要不要9/2一起慶祝生日XD
1	陳__19	2017.08.29 星期二10:40	 剛好在中間
0	宇__7	2017.08.29 星期二16:36	 Whose birthday
0	陳__19	2017.08.29 星期二17:14	 我9/1 徐不是9/3？
0	陳__19	2017.08.29 星期二17:14	 我記得我跟他差兩天
0	(__16	2017.08.29 星期二22:13	 我是3號啊
0	(__16	2017.08.29 星期二22:13	 所以其他人有要約嗎
1	陳__19	2017.08.29 星期二22:14	 我最近都有空
0	陳__19	2017.08.29 星期二22:15	 其他人別已讀啊
1	宇__7	2017.08.29 星期二22:20	 我都只有晚上在淡水附近才有空
1	宇__7	2017.08.29 星期二22:20	 社團有事
0	陳__19	2017.08.29 星期二22:21	 我覺得也可以
2	陳__19	2017.08.29 星期二22:21	 因為我之後也會去淡水XD
1	吳__4	2017.08.29 星期二22:56	 我9/2上班到15:00
3	1__14	2017.08.29 星期二23:15	 我不会晚上  跑去淡水喔
3	1__14	2017.08.29 星期二23:15	 來回3小時 又晚上
1	1__14	2017.08.29 星期二23:15	 星期六日 不ok
1	1__14	2017.08.29 星期二23:15	 其他都可以
1	1__14	2017.08.29 星期二23:16	 你們先喬 你們方便的
1	1__14	2017.08.29 星期二23:16	 我再 看看
0	1__14	2017.08.29 星期二23:16	 貼圖
2	陳__19	2017.08.29 星期二23:36	 嗯還是約新店啊？
0	陳__19	2017.08.29 星期二23:36	 老大社團能不能請一段時間的假？
2	陳__19	2017.08.29 星期二23:37	 朱跟吳都在新店 老大也住新店只是要社團
0	陳__19	2017.08.29 星期二23:37	 這樣看下來比較可行的就是請老大喬一下
1	宇__7	2017.08.29 星期二23:45	 不然就假日
1	宇__7	2017.08.29 星期二23:45	 這禮拜六
0	宇__7	2017.08.29 星期二23:46	 沒事...
0	陳__19	2017.08.29 星期二23:46	 ？
0	陳__19	2017.08.29 星期二23:46	 .......
1	陳__19	2017.08.29 星期二23:46	 朱說六日不行
1	宇__7	2017.08.29 星期二23:46	 2號禮拜幾
0	陳__19	2017.08.29 星期二23:46	 6
1	陳__19	2017.08.29 星期二23:46	 不一定要9/2啦
0	陳__19	2017.08.29 星期二23:47	 時間還沒定
1	陳__19	2017.08.29 星期二23:47	 要你們都有空的時間去選
0	宇__7	2017.08.29 星期二23:47	 我現在要騎回新店明天聊
0	陳__19	2017.08.29 星期二23:47	 好
1	1__14	2017.08.30 星期三09:08	 六的話 我要下午後
1	1__14	2017.08.30 星期三09:09	 禮拜天 整天 補托福 沒辦法
0	陳__19	2017.08.30 星期三10:50	 那這樣好像就沒問題了耶
1	陳__19	2017.08.30 星期三10:50	 大家9/2晚上都可以吧？
1	1__14	2017.08.30 星期三11:01	 可
0	陳__19	2017.08.30 星期三11:19	 貼圖
0	吳__4	2017.08.30 星期三11:29	 現在還沒有其他安排
0	陳__19	2017.08.31 星期四21:35	 那這禮拜六要吃什麼？
2	陳__19	2017.08.31 星期四21:35	 朱應該會想吃吃到飽吧XD
0	1__14	2017.08.31 星期四22:15	 你真懂我
0	1__14	2017.08.31 星期四22:15	 貼圖
2	1__14	2017.08.31 星期四22:15	 500內吧
2	1__14	2017.08.31 星期四22:16	 永瑞不太喜歡 吃到飽
0	1__14	2017.08.31 星期四22:16	 看你們 我都可以
0	(__16	2017.08.31 星期四22:18	 鼎泰豐？
2	陳__19	2017.08.31 星期四22:34	 鼎泰豐偏貴吧
2	陳__19	2017.08.31 星期四22:34	 那個對朱來說 要吃飽要1000吧XD
0	1__14	2017.08.31 星期四23:06	 沒那麼誇張吧⋯
2	1__14	2017.08.31 星期四23:06	 我印像沒那麼貴啊
0	1__14	2017.08.31 星期四23:06	 而且我食量大只 大在 吃肉
0	1__14	2017.08.31 星期四23:06	 飯類的也是 正常量啊
2	1__14	2017.08.31 星期四23:07	 那個好像止能現場排
0	1__14	2017.08.31 星期四23:07	 是要去101的那個嗎
3	1__14	2017.08.31 星期四23:07	 我ok
2	陳__19	2017.08.31 星期四23:07	 鼎泰豐我記得他一道的分量不多
3	陳__19	2017.08.31 星期四23:07	 不過你OK的話我也可以
3	1__14	2017.08.31 星期四23:08	 你們決定
